Node Mode
Johannesburg (Ra)
PortElizabeth (Ra)
CapeTown (Ra)
Bloemfontein (Ra)
Gaborone (Ra)
Seattle (Ro)
Portland (Ro)
SanFrancisco (Ro)
LosAngeles (Ro)
SanDiego (Ro)
LasVegas (Ro)
Phoenix (Ro)
Dallas (Ro)
SanAntonio (Ro)
Houston (Ro)
NewOrleans (Ro)
Tampa (Ro)
Miami (Ro)
Orlando (Ro)
Jacksonville (Ro)
Atlanta (Ro)
Nashville (Ro)
Charlotte (Ro)
WashingtonDC (Ro)
Philadelphia (Ro)
NewYork (Ro)
Detroit (Ro)
Chicago (Ro)
KansasCity (Ro)
Denver (Ro)
Vancouver (Ro)
Calgary (Ro)
Winnipeg (Ro)
Toronto (Ro)
Ottawa (Ro)
Montreal (Ro)
Quebec (Ro)
Monterrey (Ro)
MexicoCity (Ro)
Merida (Ro)
SanSalvador (Ro)
PanamaCity (Ro)
Port-au-Prince (Ro)
SantoDomingo (Ro)
Bogota (Ro)
Barranquilla (Ro)
Medellin (Ro)
Caracas (Ro)
Georgetown (Ro)
Manaus (Ro)
Belem (Ro)
Recife (Ro)
Salvador (Ro)
Goiania (Ro)
BeloHorizonte (Ro)
RiodeJaneiro (Ro)
SaoPaulo (Ro)
PortoAlegre (Ro)
Quito (Ro)
Lima (Ro)
LaPaz (Ro)
Asuncion (Ro)
Montevideo (Ro)
Santiago (Ro)
Concepcion (Ro)
PuntaArenas (Ro)
BuenosAires (Ro)
Rosario (Ro)
Cordoba (Ro)
RioGrande (Ro)
Dublin (Ro)
Belfast (Ro)
London (Ro)
Birmingham (Ro)
Manchester (Ro)
Dover (Ro)
Newcastle (Ro)
Edinburgh (Ro)
Glasgow (Ro)
Calais (Ro)
Paris (Ro)
Nantes (Ro)
Lyon (Ro)
Marseille (Ro)
Montpellier (Ro)
Toulouse (Ro)
Barcelona (Ro)
Valencia (Ro)
Malaga (Ro)
Seville (Ro)
Madrid (Ro)
Bilbao (Ro)
Lisbon (Ro)
Porto (Ro)
Naples (Ro)
Rome (Ro)
Milan (Ro)
Venice (Ro)
Geneva (Ro)
Bern (Ro)
Zurich (Ro)
Luxembourg (Ro)
Brussels (Ro)
Antwerp (Ro)
Rotterdam (Ro)
Amsterdam (Ro)
Dortmund (Ro)
Munich (Ro)
Frankfurt (Ro)
Hamburg (Ro)
Berlin (Ro)
Copenhagen (Ro)
Oslo (Ro)
Bergen (Ro)
Stockholm (Ro)
Helsinki (Ro)
Tallinn (Ro)
Riga (Ro)
Vilnius (Ro)
Warsaw (Ro)
Danzig (Ro)
Minsk (Ro)
Prague (Ro)
Vienna (Ro)
Salzburg (Ro)
Ljubljana (Ro)
Zagreb (Ro)
Sarajevo (Ro)
Budapest (Ro)
Bratislava (Ro)
Belgrade (Ro)
Tirana (Ro)
Athens (Ro)
Thessaloniki (Ro)
Sofia (Ro)
Varna (Ro)
Bucharest (Ro)
Sevastopol (Ro)
Odessa (Ro)
Lviv (Ro)
Kyiv (Ro)
Kharkiv (Ro)
Istanbul (Ro)
Ankara (Ro)
Antalya (Ro)
Murmansk (Ro)
StPetersburg (Ro)
Moscow (Ro)
Voronezh (Ro)
Volgograd (Ro)
Rostov-on-Don (Ro)
Aleppo (Ro)
Damascus (Ro)
Beirut (Ro)
Jerusalem (Ro)
Baghdad (Ro)
Basra (Ro)
KuwaitCity (Ro)
Jeddah (Ro)
Riyadh (Ro)
Sana'a (Ro)
Aden (Ro)
AbuDhabi (Ro)
Muscat (Ro)
Tehran (Ro)
Shiraz (Ro)
Baku (Ro)
Tbilisi (Ro)
Astana (Ro)
Almaty (Ro)
Bishkek (Ro)
Tashkent (Ro)
Dushanbe (Ro)
Ashgabat (Ro)
Kabul (Ro)
Karachi (Ro)
Lahore (Ro)
Islamabad (Ro)
Kathmandu (Ro)
Ahmedabad (Ro)
Mumbai (Ro)
Kochi (Ro)
Bengaluru (Ro)
Chennai (Ro)
Kolkata (Ro)
NewDelhi (Ro)
Nagpur (Ro)
Chittagong (Ro)
Dhaka (Ro)
UlaanBaatar (Ro)
Naypyidaw (Ro)
Yangon (Ro)
Bangkok (Ro)
Vientiane (Ro)
Hanoi (Ro)
Haiphong (Ro)
HoChiMinhCity (Ro)
PhnomPenh (Ro)
KualaLumpur (Ro)
Singapore (Ro)
Darwin (Ro)
Brisbane (Ro)
Sydney (Ro)
Canberra (Ro)
Melbourne (Ro)
Adelaide (Ro)
AliceSprings (Ro)
Perth (Ro)
Wellington (Ro)
Auckland (Ro)
Fukuoka (Ro)
Osaka (Ro)
Tokyo (Ro)
Sendai (Ro)
Busan (Ro)
Daegu (Ro)
Seoul (Ro)
Pyongyang (Ro)
Beijing (Ro)
Qingdao (Ro)
Shanghai (Ro)
Wuhan (Ro)
HongKong (Ro)
Kumming (Ro)
Chongqing (Ro)
Chengdu (Ro)
Suez (Ro)
Cairo (Ro)
Alexandria (Ro)
Tripoli (Ro)
Tunis (Ro)
Algiers (Ro)
Rabat (Ro)
Casablanca (Ro)
Marrakesh (Ro)
Khartoum (Ro)
Juba (Ro)
Asmara (Ro)
Djibouti (Ro)
AddisAbaba (Ro)
Mogadishu (Ro)
Kampala (Ro)
Kigali (Ro)
Nairobi (Ro)
Mombasa (Ro)
Dodoma (Ro)
Lilongwe (Ro)
Lusaka (Ro)
Harare (Ro)
Antananarivo (Ro)
Toliara (Ro)
Maputo (Ro)
Durban (Ro)
Pretoria (Ro)
Johannesburg (Ro)
PortElizabeth (Ro)
CapeTown (Ro)
Bloemfontein (Ro)
Gaborone (Ro)
Windhoek (Ro)
Luanda (Ro)
Kisangani (Ro)
Kinshasa (Ro)
Brazzaville (Ro)
Libreville (Ro)
Bangui (Ro)
N'Djamena (Ro)
Yaounde (Ro)
Douala (Ro)
Lagos (Ro)
Abuja (Ro)
Niamey (Ro)
Accra (Ro)
Ouagadougou (Ro)
Abidjan (Ro)
Yamoussoukro (Ro)
Conakry (Ro)
Dakar (Ro)
Bamako (Ro)
Anchorage (A)
Dallas (A)
Atlanta (A)
NewYork (A)
Toronto (A)
MexicoCity (A)
RiodeJaneiro (A)
Santiago (A)
BuenosAires (A)
Reykjavik (A)
London (A)
Paris (A)
Barcelona (A)
Madrid (A)
Rome (A)
Amsterdam (A)
Berlin (A)
Kyiv (A)
Istanbul (A)
StPetersburg (A)
Moscow (A)
Jerusalem (A)
Riyadh (A)
AbuDhabi (A)
Kolkata (A)
NewDelhi (A)
Bangkok (A)
KualaLumpur (A)
Singapore (A)
Manila (A)
Sydney (A)
Perth (A)
Tokyo (A)
Seoul (A)
Beijing (A)
Shanghai (A)
Kigali (A)
Johannesburg (A)
CapeTown (A)
Lagos (A)
